No;Date;Operator;Unit_ID;Experiment_zanscript;Data_file_produced_before_namechange;Individuals_ID;Batch_ID;Exp_block;Plate;Datafile_ID;Time_raw;Time_corr;Sequence;Daytime
4;22/4/2021;ELM/Sammy;Z0107D3;E_locomotion_tracking.zs;;ID_210421_2;B_210421_1;B_210421_1;;Z0107D3_B_210421_1;28/2/2000 22:48;21/4/2021 22:48;1;1
1;22/4/2021;ELM/Sammy;Z5B0E17;E_ymaze_droso.zs;;ID_210421_1;B_210421_1;B_210421_1;YMAZE_plate1;Z5B0E17_B_210421_1;21/4/2021 23:22;21/4/2021 23:22;1;1
2;22/4/2021;ELM/Sammy;Z8E63AA;E_ymaze_droso.zs;;ID_210421_1;B_210421_1;B_210421_1;YMAZE_plate2;Z8E63AA_B_210421_1;21/4/2021 23:23;21/4/2021 23:23;1;1
3;22/4/2021;ELM/Sammy;Z62B8E1;E_ymaze_droso.zs;;ID_210421_1;B_210421_1;B_210421_1;YMAZE_plate3;Z62B8E1_B_210421_1;21/4/2021 23:24;21/4/2021 23:24;2;1
5;22/4/2021;ELM/Sammy;Z0107D3;E_allen_habituation.zs;;ID_210421_2;B_210421_2;B_210421_1;;Z0107D3_B_210421_2;28/2/2000 23:56;21/4/2021 23:56;2;1
6;22/4/2021;ELM/Sammy;Z5B0E17;E_ymaze_droso.zs;;ID_210421_2;B_210421_3;B_210421_1;YMAZE_plate1;Z5B0E17_B_210421_3;22/4/2021 00:53;22/4/2021 00:53;1;1
7;22/4/2021;ELM/Sammy;Z8E63AA;E_ymaze_droso.zs;;ID_210421_2;B_210421_3;B_210421_1;YMAZE_plate2;Z8E63AA_B_210421_3;22/4/2021 00:53;22/4/2021 00:53;1;1
9;22/4/2021;ELM/Sammy;Z0107D3;E_locomotion_tracking.zs;;ID_210421_1;B_210421_3;B_210421_1;;Z0107D3_B_210421_3;29/2/2000 00:54;22/4/2021 00:54;2;1
8;22/4/2021;ELM/Sammy;Z62B8E1;E_ymaze_droso.zs;;ID_210421_2;B_210421_3;B_210421_1;YMAZE_plate3;Z62B8E1_B_210421_3;22/4/2021 00:54;22/4/2021 00:54;2;1
10;22/4/2021;ELM/Sammy;Z0107D3;E_allen_habituation.zs;;ID_210421_1;B_210421_4;B_210421_1;;Z0107D3_B_210421_4;29/2/2000 01:36;22/4/2021 01:36;2;1
14;22/4/2021;ELM/Patrice;Z0107D3;E_locomotion_tracking.zs;;ID_210421_4;B_210421_5;B_210421_2;;Z0107D3_B_210421_5;29/2/2000 03:10;22/4/2021 03:10;1;2
11;22/4/2021;ELM/Patrice;Z5B0E17;E_ymaze_droso.zs;;ID_210421_3;B_210421_5;B_210421_2;YMAZE_plate1;Z5B0E17_B_210421_5;22/4/2021 03:42;22/4/2021 03:42;1;2
12;22/4/2021;ELM/Patrice;Z8E63AA;E_ymaze_droso.zs;;ID_210421_3;B_210421_5;B_210421_2;YMAZE_plate2;Z8E63AA_B_210421_5;22/4/2021 03:42;22/4/2021 03:42;1;2
13;22/4/2021;ELM/Patrice;Z62B8E1;E_ymaze_droso.zs;;ID_210421_3;B_210421_5;B_210421_2;YMAZE_plate3;Z62B8E1_B_210421_5;22/4/2021 03:43;22/4/2021 03:43;2;2
15;22/4/2021;ELM/Patrice;Z0107D3;E_allen_habituation.zs;;ID_210421_4;B_210421_6;B_210421_2;;Z0107D3_B_210421_6;29/2/2000 03:56;22/4/2021 03:56;2;2
19;22/4/2021;ELM/Patrice;Z0107D3;E_locomotion_tracking.zs;;ID_210421_3;B_210421_7;B_210421_2;;Z0107D3_B_210421_7;29/2/2000 04:34;22/4/2021 04:34;1;2
16;22/4/2021;ELM/Patrice;Z5B0E17;E_ymaze_droso.zs;;ID_210421_4;B_210421_7;B_210421_2;YMAZE_plate1;Z5B0E17_B_210421_7;22/4/2021 05:06;22/4/2021 05:06;1;2
17;22/4/2021;ELM/Patrice;Z8E63AA;E_ymaze_droso.zs;;ID_210421_4;B_210421_7;B_210421_2;YMAZE_plate2;Z8E63AA_B_210421_7;22/4/2021 05:06;22/4/2021 05:06;2;2
18;22/4/2021;ELM/Patrice;Z62B8E1;E_ymaze_droso.zs;;ID_210421_4;B_210421_7;B_210421_2;YMAZE_plate3;Z62B8E1_B_210421_7;22/4/2021 05:07;22/4/2021 05:07;2;2
20;22/4/2021;ELM/Patrice;Z0107D3;E_allen_habituation.zs;;ID_210421_3;B_210421_8;B_210421_2;;Z0107D3_B_210421_8;29/2/2000 05:23;22/4/2021 05:23;2;2
24;23/4/2021;ELM/Patrice;Z0107D3;E_locomotion_tracking.zs;;ID_220421_6;B_220421_9;B_220421_3;;Z0107D3_B_220421_9;29/2/2000 22:44;22/4/2021 22:44;1;1
21;23/4/2021;ELM/Patrice;Z5B0E17;E_ymaze_droso.zs;;ID_220421_5;B_220421_9;B_220421_3;YMAZE_plate1;Z5B0E17_B_220421_9;22/4/2021 23:17;22/4/2021 23:17;1;1
22;23/4/2021;ELM/Patrice;Z8E63AA;E_ymaze_droso.zs;;ID_220421_5;B_220421_9;B_220421_3;YMAZE_plate2;Z8E63AA_B_220421_9;22/4/2021 23:17;22/4/2021 23:17;1;1
23;23/4/2021;ELM/Patrice;Z62B8E1;E_ymaze_droso.zs;;ID_220421_5;B_220421_9;B_220421_3;YMAZE_plate3;Z62B8E1_B_220421_9;22/4/2021 23:18;22/4/2021 23:18;2;1
25;23/4/2021;ELM/Patrice;Z0107D3;E_allen_habituation.zs;;ID_220421_6;B_220421_10;B_220421_3;;Z0107D3_B_220421_10;29/2/2000 23:32;22/4/2021 23:32;2;1
29;23/4/2021;ELM/Patrice;Z0107D3;E_locomotion_tracking.zs;;ID_220421_5;B_220421_11;B_220421_3;;Z0107D3_B_220421_11;1/3/2000 00:17;23/4/2021 00:17;1;1
26;23/4/2021;ELM/Patrice;Z5B0E17;E_ymaze_droso.zs;;ID_220421_6;B_220421_11;B_220421_3;YMAZE_plate1;Z5B0E17_B_220421_11;23/4/2021 00:50;23/4/2021 00:50;1;1
27;23/4/2021;ELM/Patrice;Z8E63AA;E_ymaze_droso.zs;;ID_220421_6;B_220421_11;B_220421_3;YMAZE_plate2;Z8E63AA_B_220421_11;23/4/2021 00:50;23/4/2021 00:50;2;1
28;23/4/2021;ELM/Patrice;Z62B8E1;E_ymaze_droso.zs;;ID_220421_6;B_220421_11;B_220421_3;YMAZE_plate3;Z62B8E1_B_220421_11;23/4/2021 00:51;23/4/2021 00:51;2;1
30;23/4/2021;ELM/Patrice;Z0107D3;E_allen_habituation.zs;;ID_220421_5;B_220421_12;B_220421_3;;Z0107D3_B_220421_12;1/3/2000 01:03;23/4/2021 01:03;2;1
34;23/4/2021;ELM/Sammy;Z0107D3;E_locomotion_tracking.zs;;ID_220421_8;B_220421_13;B_220421_4;;Z0107D3_B_220421_13;1/3/2000 03:07;23/4/2021 03:07;1;2
31;23/4/2021;ELM/Sammy;Z5B0E17;E_ymaze_droso.zs;;ID_220421_7;B_220421_13;B_220421_4;YMAZE_plate1;Z5B0E17_B_220421_13;23/4/2021 03:38;23/4/2021 03:38;1;2
32;23/4/2021;ELM/Sammy;Z8E63AA;E_ymaze_droso.zs;;ID_220421_7;B_220421_13;B_220421_4;YMAZE_plate2;Z8E63AA_B_220421_13;23/4/2021 03:39;23/4/2021 03:39;1;2
33;23/4/2021;ELM/Sammy;Z62B8E1;E_ymaze_droso.zs;;ID_220421_7;B_220421_13;B_220421_4;YMAZE_plate3;Z62B8E1_B_220421_13;23/4/2021 03:39;23/4/2021 03:39;2;2
35;23/4/2021;ELM/Sammy;Z0107D3;E_allen_habituation.zs;;ID_220421_8;B_220421_14;B_220421_4;;Z0107D3_B_220421_14;1/3/2000 03:53;23/4/2021 03:53;2;2
39;23/4/2021;ELM/Sammy;Z0107D3;E_locomotion_tracking.zs;;ID_220421_7;B_220421_15;B_220421_4;;Z0107D3_B_220421_15;1/3/2000 04:22;23/4/2021 04:22;1;2
36;23/4/2021;ELM/Sammy;Z5B0E17;E_ymaze_droso.zs;;ID_220421_8;B_220421_15;B_220421_4;YMAZE_plate1;Z5B0E17_B_220421_15;23/4/2021 05:05;23/4/2021 05:05;1;2
37;23/4/2021;ELM/Sammy;Z8E63AA;E_ymaze_droso.zs;;ID_220421_8;B_220421_15;B_220421_4;YMAZE_plate2;Z8E63AA_B_220421_15;23/4/2021 05:06;23/4/2021 05:06;2;2
38;23/4/2021;ELM/Sammy;Z62B8E1;E_ymaze_droso.zs;;ID_220421_8;B_220421_15;B_220421_4;YMAZE_plate3;Z62B8E1_B_220421_15;23/4/2021 05:07;23/4/2021 05:07;2;2
40;23/4/2021;ELM/Sammy;Z0107D3;E_allen_habituation.zs;;ID_220421_7;B_220421_16;B_220421_4;;Z0107D3_B_220421_16;1/3/2000 05:15;23/4/2021 05:15;2;2